# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828932377,-0.01171875,-0.85839844,0.5078125,0.125,0.03125,0.0,0.0,0.0,0.0
1695828932417,-0.026367188,-0.8613281,0.515625,0.0,-0.09375,0.375,0.0,0.0,0.0
1695828932457,-0.00390625,-0.8466797,0.4951172,-0.125,-0.15625,0.375,0.0,0.0,0.0
1695828932497,-0.0078125,-0.85253906,0.49609375,0.125,0.21875,-0.0625,0.0,0.0,0.0
1695828932537,-0.025390625,-0.8515625,0.50390625,0.25,0.03125,0.3125,0.0,0.0,0.0
1695828932577,-0.009765625,-0.8544922,0.5048828,0.625,-0.03125,0.25,54.625,-66.5625,-73.875
1695828932617,-0.009765625,-0.8515625,0.50390625,0.375,0.28125,0.0,0.0,0.0,0.0
1695828932657,-0.0126953125,-0.85058594,0.51660156,-0.125,0.15625,-0.125,0.0,0.0,0.0
1695828932697,-0.013671875,-0.85253906,0.50390625,0.0625,-0.09375,0.0625,0.0,0.0,0.0
1695828932737,-0.0146484375,-0.8574219,0.51171875,-0.25,-0.03125,0.0625,0.0,0.0,0.0
1695828932777,-0.0126953125,-0.85253906,0.5058594,-0.125,-0.46875,0.1875,0.0,0.0,0.0
1695828932818,-0.01171875,-0.8515625,0.50683594,0.0,-0.28125,0.25,0.0,0.0,0.0
1695828932858,-0.0146484375,-0.84765625,0.50097656,0.1875,0.15625,0.1875,0.0,0.0,0.0
1695828932898,-0.0107421875,-0.85546875,0.5029297,-0.0625,-0.03125,0.1875,0.0,0.0,0.0
1695828932938,-0.018554688,-0.8535156,0.5019531,0.5,0.15625,0.125,0.0,0.0,0.0
1695828932978,-0.015625,-0.8623047,0.49316406,0.5,0.15625,-0.125,0.0,0.0,0.0
1695828933018,-0.013671875,-0.859375,0.51464844,0.1875,0.34375,-0.0625,0.0,0.0,0.0
1695828933058,-0.016601562,-0.85546875,0.5136719,-0.3125,-0.09375,0.25,54.125,-67.4375,-73.6875
1695828933098,-0.026367188,-0.8613281,0.50683594,0.125,-0.59375,0.65625,0.0,0.0,0.0
1695828933138,-0.016601562,-0.84765625,0.51464844,0.0625,-0.34375,0.1875,0.0,0.0,0.0
1695828933178,-0.0146484375,-0.8515625,0.50683594,0.0,0.03125,0.125,0.0,0.0,0.0
