# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828865378,0.06616211,-0.98883057,-0.08502197,-1.734375,-0.328125,-0.0625
1695828865418,0.052734375,-0.99102783,-0.09039307,-1.59375,-0.609375,0.125
1695828865458,0.049804688,-0.99664307,-0.07965088,-1.640625,-0.578125,-0.015625
1695828865498,0.05078125,-0.9915161,-0.08282471,-1.203125,-0.4375,-0.046875
1695828865538,0.05102539,-0.9924927,-0.07305908,-1.34375,-0.390625,-0.03125
1695828865578,0.059814453,-0.9937134,-0.07989502,-1.484375,0.21875,-0.0625
1695828865618,0.051757812,-0.9885864,-0.073791504,-1.28125,-0.203125,-0.375
1695828865658,0.052490234,-0.9932251,-0.08013916,-1.09375,-0.453125,0.125
1695828865698,0.057373047,-0.9981079,-0.07501221,-0.84375,-0.75,-0.234375
1695828865738,0.07055664,-0.9734497,-0.08502197,-1.421875,0.328125,0.0625
1695828865778,0.05517578,-0.9907837,-0.06793213,0.125,-2.5625,0.5625
1695828865818,0.060302734,-0.97906494,-0.08746338,-0.875,0.328125,0.03125
1695828865858,0.053466797,-1.0056763,-0.06109619,0.46875,-0.78125,0.3125
1695828865899,0.053466797,-0.9985962,-0.06793213,0.65625,-0.484375,0.15625
1695828865939,0.06616211,-0.98272705,-0.081848145,-0.421875,-0.09375,0.03125
1695828865979,0.061035156,-0.99176025,-0.08795166,-0.671875,-0.421875,0.140625
1695828866019,0.057128906,-0.99664307,-0.078186035,-0.28125,-1.828125,0.5
1695828866059,0.06982422,-0.9890747,-0.0869751,-0.796875,-0.71875,0.109375
1695828866099,0.055908203,-0.99420166,-0.07086182,-0.625,-1.09375,0.515625
1695828866139,0.04663086,-0.99786377,-0.08526611,-0.15625,-0.921875,0.34375
1695828866179,0.06591797,-0.9837036,-0.08331299,-0.25,-0.171875,0.125
1695828866219,0.06201172,-0.9951782,-0.07598877,-0.125,-0.671875,0.09375
1695828866259,0.06933594,-0.98687744,-0.07550049,-0.328125,-0.09375,0.09375
1695828866299,0.06933594,-0.99298096,-0.073791504,-0.1875,-0.1875,0.109375
1695828866339,0.05859375,-0.99591064,-0.070129395,0.171875,-0.671875,0.34375
1695828866379,0.072265625,-0.98931885,-0.08477783,-0.078125,0.34375,0.25
1695828866419,0.05126953,-0.99591064,-0.057678223,0.484375,-2.234375,0.453125
1695828866459,0.07128906,-0.97442627,-0.097717285,-0.859375,0.140625,-0.015625
1695828866499,0.068359375,-0.9961548,-0.07305908,0.125,0.359375,0.40625
1695828866539,0.059326172,-1.0073853,-0.07354736,0.4375,-0.5625,0.484375
1695828866579,0.06542969,-0.9807739,-0.081604004,0.484375,-0.375,0.1875
1695828866619,0.07055664,-0.9873657,-0.082092285,0.46875,-0.453125,0.25
1695828866660,0.060791016,-0.9873657,-0.06915283,0.828125,-0.65625,0.40625
1695828866700,0.0690918,-0.99346924,-0.08135986,0.375,-0.90625,0.171875
1695828866740,0.0769043,-0.98687744,-0.08258057,0.203125,-0.625,-0.078125
1695828866780,0.053466797,-0.99884033,-0.081848145,0.390625,-0.953125,0.21875
1695828866820,0.06738281,-0.9871216,-0.093322754,0.46875,-0.515625,-0.125
1695828866860,0.07373047,-0.99346924,-0.081848145,0.734375,-0.640625,0.203125
1695828866900,0.06762695,-0.989563,-0.08843994,0.71875,-0.65625,0.28125
